@relation atributos

@attribute largura numeric
@attribute altura numeric
@attribute posicaoX-relativa numeric
@attribute posicaoY-relativa numeric
@attribute entropia numeric
@attribute segundo-momento-ang numeric
@attribute correlacao numeric
@attribute energia numeric
@attribute media numeric
@attribute variancia numeric
@attribute desvio-padrao numeric
@attribute contraste numeric
@attribute homogeneidade numeric
@attribute dissimilaridade numeric
@attribute media-tons-cinza numeric
@attribute class {atencao,normal}

@data
35,15,7,7,1.30653,0.068298,0.731717,0.261024,8.24259,1.888385,1.374145,1.022184,0.672981,0.742962,70,normal
10,16,6,7,1.053826,0.117154,0.732816,0.341607,11.122106,1.160927,1.077078,0.631806,0.766534,0.505417,92,normal
8,11,7,0,1.081636,0.108686,0.732945,0.329655,9.482062,1.200993,1.095134,0.733929,0.715503,0.610227,80,normal
29,17,9,7,0.998556,0.138236,0.736507,0.37161,12.351647,0.92264,0.960487,0.491204,0.785749,0.443969,103,normal
18,24,4,8,1.189072,0.085995,0.740041,0.293029,12.91478,1.581167,1.257257,0.834923,0.715241,0.629769,107,normal
10,8,5,7,0.380206,0.510661,0.741984,0.714299,14.272321,0.195821,0.441763,0.112698,0.943651,0.112698,118,normal
9,9,5,9,0.372933,0.511267,0.742697,0.714925,11.269965,0.193985,0.43935,0.115451,0.942274,0.115451,94,normal
18,11,2,7,0.420295,0.460168,0.743611,0.677795,13.671635,0.220382,0.469426,0.113889,0.943056,0.113889,113,normal
24,14,6,8,0.60219,0.417312,0.743644,0.645953,7.858091,0.391668,0.625084,0.207333,0.897448,0.205661,67,normal
59,13,7,0,0.285789,0.706587,0.74696,0.840586,13.924998,0.12503,0.353002,0.066853,0.966574,0.066853,115,normal
32,16,4,0,0.821801,0.207129,0.747786,0.455052,12.903688,0.60104,0.774641,0.317725,0.848911,0.306065,107,normal
20,12,4,6,0.612025,0.31154,0.749828,0.557948,12.217594,0.372258,0.610043,0.198864,0.900568,0.198864,102,normal
51,31,3,8,0.686539,0.2886,0.750508,0.537014,10.952419,0.430676,0.656255,0.21541,0.892517,0.215076,92,normal
42,27,5,9,0.583983,0.396293,0.752096,0.629437,14.896215,0.329154,0.573649,0.165994,0.917003,0.165994,123,normal
23,18,5,9,0.484684,0.473336,0.752493,0.68793,16.838284,0.24963,0.499329,0.127583,0.936208,0.127583,138,normal
17,22,6,9,1.150344,0.105787,0.753266,0.324665,10.419627,1.408976,1.186824,0.701426,0.746302,0.553126,87,normal
21,40,7,7,0.597754,0.316838,0.753463,0.562613,16.372533,0.359173,0.599226,0.178643,0.911106,0.178002,135,normal
16,10,8,7,0.687481,0.258729,0.753514,0.506978,15.796782,0.463311,0.680594,0.229352,0.885324,0.229352,130,normal
25,31,8,9,0.366923,0.56321,0.756411,0.75041,13.777133,0.181146,0.425495,0.089615,0.955193,0.089615,114,normal
29,17,2,9,0.710944,0.307253,0.757638,0.554136,14.173865,0.46516,0.682,0.228499,0.886494,0.227383,117,normal
17,8,7,7,1.136123,0.091125,0.759062,0.301149,4.44098,1.462983,1.207872,0.772715,0.737625,0.585905,40,normal
25,25,8,8,0.424609,0.536752,0.760688,0.732521,15.164835,0.210527,0.458673,0.102066,0.948967,0.102066,125,normal
15,15,6,8,0.317238,0.612208,0.770816,0.782394,12.800085,0.15928,0.3986,0.07568,0.96216,0.07568,106,normal
15,12,6,8,0.655462,0.293669,0.771179,0.541851,8.605046,0.429603,0.655144,0.203815,0.898093,0.203815,73,normal
18,29,4,8,1.037263,0.131371,0.77124,0.361748,11.213475,1.092278,1.045087,0.507659,0.78905,0.442953,94,normal
61,14,6,0,0.64669,0.322714,0.77198,0.567899,8.428874,0.413801,0.643235,0.190008,0.904996,0.190008,71,normal
23,27,7,8,1.396997,0.054679,0.772229,0.233632,16.301622,2.465077,1.570007,1.128173,0.674364,0.762303,134,normal
66,13,7,0,0.389863,0.532084,0.773847,0.72941,15.259441,0.202039,0.449448,0.091292,0.954781,0.090651,127,normal
8,8,6,6,0.685296,0.249642,0.775544,0.499515,11.311543,0.471873,0.684649,0.273597,0.863202,0.273597,94,normal
19,10,4,6,0.403462,0.478139,0.776374,0.691348,9.318527,0.216707,0.465458,0.0987,0.95065,0.0987,79,normal
27,10,6,0,0.556898,0.339145,0.776379,0.582236,13.29983,0.338489,0.579393,0.184544,0.907728,0.184544,111,normal
16,12,9,8,0.719139,0.226665,0.777606,0.475427,15.991777,0.522737,0.722881,0.244034,0.877983,0.244034,132,normal
11,11,7,8,0.474166,0.386099,0.777833,0.621187,10.5225,0.270448,0.519782,0.131818,0.934091,0.131818,89,normal
